day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
1,jan,2021,Dublin Airport,5,-1.9,0,8.8,19,6.6
2,jan,2021,Dublin Airport,3.5,-2.4,0.1,10.1,19,2.4
3,jan,2021,Dublin Airport,3.9,-2.5,4.1,9.2,30,0.6
4,jan,2021,Dublin Airport,5.3,2.2,0.5,11.5,27,0.6
5,jan,2021,Dublin Airport,5.2,1.2,1,9.5,25,1
6,jan,2021,Dublin Airport,2.7,-1.9,5,6.5,16,0.1
7,jan,2021,Dublin Airport,1.5,-1.7,0.3,8.5,19,0.3
8,jan,2021,Dublin Airport,1.9,-5.1,0,10.2,24,
9,jan,2021,Dublin Airport,2.4,-5.9,0,6.5,19,6.8
10,jan,2021,Dublin Airport,5.5,1.3,0,8.9,22,0
11,jan,2021,Dublin Airport,9.4,4.7,4.4,12.3,28,0
12,jan,2021,Dublin Airport,9.3,4.5,9.7,6.5,25,1.2
13,jan,2021,Dublin Airport,11.1,5.7,6.9,8.8,31,0
14,jan,2021,Dublin Airport,10.1,0.6,0.1,12.8,25,3.5
15,jan,2021,Dublin Airport,9.3,-2.2,5.7,8.5,29,0
16,jan,2021,Dublin Airport,10.6,3.8,0.8,13.2,29,2.4
17,jan,2021,Dublin Airport,6.2,1.9,0,9.1,22,0
18,jan,2021,Dublin Airport,9,3.9,6.3,6,21,0
19,jan,2021,Dublin Airport,11.1,8.1,16.9,8.7,24,0
20,jan,2021,Dublin Airport,10.4,0.9,7.8,8.1,21,0
21,jan,2021,Dublin Airport,5.6,0.4,0,12.6,31,4
22,jan,2021,Dublin Airport,4.3,-0.2,0.2,8.2,17,3.8
23,jan,2021,Dublin Airport,3.5,-1.7,0,7.7,19,5.9
24,jan,2021,Dublin Airport,1.8,-3.1,0.9,6.5,15,2.2
25,jan,2021,Dublin Airport,4,-1.8,0,6.6,16,5.9
26,jan,2021,Dublin Airport,10,2.3,1.8,7.9,23,0.3
27,jan,2021,Dublin Airport,10.7,7.6,10.4,5.5,19,0.1
28,jan,2021,Dublin Airport,11.9,7.3,2,8.3,28,0.1
29,jan,2021,Dublin Airport,9.6,5.5,1.3,10.9,31,0.4
30,jan,2021,Dublin Airport,6,3.3,20.7,21.6,43,0
